nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso
DEBORA I.,feminino,jgvujdsw1s8wmxl7d8x5t0bp50t62g,4912363731,27.0,39513.0,350.3,13,centro-oeste,solteiro(a),médio,1,cartão de crédito,0
CAMILA D.,feminino,isccp63e51tmoda0lnfah0c3772tva,3121265424,38.0,63342.0,355.8,28,nordeste,divorciado(a),médio,0,cartão de crédito,5
ADRIANA Q.,feminino,g689mn1o98xx123h3fbgru5bkk12bc,,32.0,66513.0,318.2,29,sudeste,solteiro(a),médio,1,pix,0
RENATA L.,feminino,zgz76r1dwr1iz5h5uhmt5va9o57fxx,5924147618,28.0,60958.0,314.1,55,sudeste,divorciado(a),fundamental,2,cartão de débito,0
ROSANGELA B.,feminino,vngpxc0zsi1ri08ja48qdf6f0h44ps,0108236624,29.0,50975.0,344.5,39,nordeste,casado(a),outros,1,pix,9
JESSICA M.,feminino,rlbg3zsh5bre4f5shxwtj1a79qc0al,5346351061,20.0,55280.0,454.8,25,nordeste,casado(a),,2,cartão de crédito,14
JULIA I.,feminino,2cfba3m34zwtlxr0l4ef6nd0gs88pr,7248376605,53.0,77915.0,,42,norte,solteiro(a),médio,0,cartão de crédito,20
FRANCISCA Q.,feminino,29b3plzj1cewutk0gqzr6ajvmja8tq,,46.0,75374.0,600.4,27,norte,casado(a),médio,1,pix,3
RITA V.,feminino,1an27uzp9wennkc8rd4e7mtmsa0e8s,,29.0,62825.0,597.5,28,sudeste,separado(a),fundamental,1,cartão de débito,0
LUIZ A.,feminino,eq2pgrepmvsa52khllvu5fhibxd0o2,5062807215,40.0,63687.0,635.0,36,sudeste,casado(a),,0,transferência,0
SONIA D.,feminino,xlx5uli5jwss51oaeotqgl6mn58a8p,2324980279,31.0,65935.0,354.0,36,sul,casado(a),,1,cartão de crédito,3
ANTONIA F.,feminino,42nfcd1ttrtq45l7de8bsitvdracba,,33.0,34798.0,536.3,16,norte,solteiro(a),médio,0,cartão de crédito,3
VITORIA K.,feminino,645plbij9rzc2jl4eip4x0p04f1hwo,,28.0,48124.0,,25,sudeste,separado(a),médio,0,cartão de crédito,15
JULIA I.,feminino,k03hpbmm4m1wqvxz6a2h2e2hisocg9,,30.0,44552.0,304.5,36,norte,casado(a),fundamental,2,pix,12
DANIELA K.,feminino,ca3xfj3zalnblgfgibfbpnmmpz45z3,7939849481,38.0,51799.0,377.2,78,sudeste,casado(a),fundamental,0,cartão de crédito,0
JULIA W.,feminino,b6prrepolg3u38mw8zbpc7tnmgeada,,28.0,49399.0,525.1,22,nordeste,casado(a),graduado,0,cartão de crédito,7
LARISSA V.,feminino,2c81s3e57oxni620zjk1xbxfgeuxqg,7214803575,43.0,49442.0,386.7,29,sudeste,casado(a),médio,0,boleto,2
LETICIA C.,feminino,0d116ggprlp6smpq1pzjf15xh4t61h,4876612082,49.0,50029.0,551.1,61,centro-oeste,solteiro(a),médio,0,cartão de crédito,16
ROSA E.,feminino,ej73hd94xol17dgu4gdnz8vp72erkv,3427833703,29.0,44012.0,305.4,28,sudeste,casado(a),outros,1,cartão de crédito,1
SIMONE H.,feminino,qxmjihpkzggvufl1mgg6g2j836vres,8559530861,51.0,65982.0,624.5,67,sudeste,separado(a),fundamental,1,transferência,16
TEREZA Z.,feminino,i6647q6kkxuapihp2c9dfoifmi9dfk,3458918993,36.0,35991.0,503.1,20,sudeste,solteiro(a),médio,0,cartão de crédito,8
ALINE C.,feminino,xagptxr845mo15utlguhq30nbfl35i,7025639381,47.0,61155.0,,37,sudeste,casado(a),fundamental,0,cartão de débito,15
CLAUDIA F.,feminino,qenxmzr5vesmepqwwqj8hm0b02742c,3671218776,36.0,62473.0,616.8,39,sudeste,viúvo(a),médio,2,cartão de débito,8
CARLA C.,feminino,o428xcwd1ha8qcure3xignff79s85u,3837022099,32.0,43941.0,514.5,38,nordeste,casado(a),,2,cartão de débito,10
ANTONIA L.,feminino,wfwb60pc2ixtr16sjal6o6lz5w9gnr,9347407021,50.0,50711.0,776.1,29,sudeste,solteiro(a),médio,0,cartão de crédito,0
ROSA W.,feminino,owx2o5bepd0whojni80m2rli4wjaco,7068244344,23.0,32508.0,353.1,26,nordeste,viúvo(a),,1,cartão de débito,0
CARLA T.,feminino,qlu9hqrqo2lv5rpm5nu3na5tw0uh78,5568873210,54.0,74468.0,,122,nordeste,casado(a),outros,0,pix,0
JOSE C.,feminino,mwcs9sxjqzmrdlx17h4jt8lhtk9kec,,21.0,44437.0,,12,centro-oeste,casado(a),fundamental,2,cartão de crédito,4
FRANCISCA E.,feminino,dml5hcic8qad6exmflh0l5sz949fe5,,36.0,58056.0,540.6,50,nordeste,solteiro(a),graduado,3,cartão de crédito,11
VANESSA J.,feminino,o8oa5xj0usator4t8uqmrizm97dzlk,0088205725,42.0,39684.0,435.5,20,nordeste,solteiro(a),pós-graduado,1,cartão de débito,0
TEREZINHA G.,feminino,vxc4ndtz35uzxkjtlxqnq1zpepvhro,4314419785,32.0,73644.0,621.8,77,sudeste,divorciado(a),médio,1,pix,0
JOSE J.,feminino,f2hi769l3hdcn07vl53j8brjlqbk9s,1552426838,29.0,61670.0,498.4,34,sul,casado(a),médio,2,boleto,1
DANIEL B.,feminino,wtgxqb89qpna8zjanxb61064h3hucr,9590123960,44.0,56233.0,624.5,24,sudeste,casado(a),médio,0,boleto,5
ADRIANA S.,feminino,xsjk0f0jufnp3bk3j2p941a18ndkeb,,37.0,61238.0,649.5,34,centro-oeste,separado(a),,1,pix,14
MARCIA P.,feminino,n493gtulgp13c33cascjdq78bwth7p,9217127846,47.0,72029.0,543.7,30,sudeste,separado(a),médio,1,cartão de débito,0
MARCIA I.,feminino,3i7rtpzhkjs2l8zjar87zktk0fbo78,,51.0,62560.0,569.7,29,nordeste,divorciado(a),fundamental,1,pix,3
LUIZ S.,feminino,j5tl8rupzhai2b9luhg01zu1ajj1mm,,29.0,43899.0,421.1,21,sudeste,casado(a),graduado,4,cartão de crédito,3
MARLENE C.,feminino,guwzntdm7vfjqp6v4zwnf6onkt6to5,1806119018,40.0,55303.0,440.0,25,sul,viúvo(a),outros,1,cartão de débito,0
BRUNA O.,feminino,k8m74ufwme9wwiewbrhfzzl6vz9bsm,1148714220,20.0,29659.0,419.1,18,sudeste,casado(a),outros,0,cartão de crédito,15
ADRIANA D.,feminino,m4soxf2l6a8gkc3go9ui8wgjgpn5di,9274525274,31.0,69840.0,583.0,39,sudeste,separado(a),outros,0,cartão de débito,12
CLAUDIA J.,feminino,0mwxi5sc7171hf601qwget6xzq6uav,,33.0,33947.0,474.8,27,nordeste,casado(a),médio,0,transferência,2
VANESSA I.,feminino,rcm1precb6tbp1hi99mzf1ql3gut1q,,47.0,57625.0,499.3,101,sudeste,separado(a),outros,1,cartão de débito,5
LARISSA A.,feminino,cnu7oldjqzpujtjk78ko9g981pqbx1,8015222494,50.0,109745.0,776.4,31,norte,solteiro(a),graduado,1,cartão de débito,3
TAIS V.,feminino,st9dbz5zr0h6mmgla27gitzh9ojxew,5399635843,31.0,95185.0,,42,sudeste,casado(a),,1,pix,0
ALINE T.,feminino,i7vd3xahfis1x3jfka0kfnm6b1bgxm,2101907168,49.0,28781.0,743.7,27,centro-oeste,casado(a),graduado,2,pix,7
CAMILA Z.,feminino,glpamvrppch7w6ak0uk1xbhegca89i,4116431710,41.0,78344.0,469.6,64,sudeste,solteiro(a),médio,2,boleto,9
CARLA Z.,feminino,1xvv3xbpuo7zoqszmblnsildmxhd9u,4017695236,23.0,39566.0,286.0,55,nordeste,viúvo(a),fundamental,3,cartão de crédito,1
FERNANDA H.,feminino,jvshiw7gvqzzoqe6c3ehmtvim0bjp3,4913568405,39.0,53500.0,422.9,39,sudeste,casado(a),,2,boleto,4
CRISTIANE U.,feminino,wb9n080k16qb3jrqbubghvpt60w8jo,9625071902,31.0,38472.0,303.9,17,nordeste,divorciado(a),,3,boleto,2
ELIAS S.,feminino,d8mjgkhfx1n4vurcxs39ssvd30wkgs,6900312605,37.0,30638.0,450.3,22,nordeste,solteiro(a),outros,2,cartão de débito,17
JAQUELINE A.,feminino,cqkn0mndrxij4ee5ov2q75d7otmcle,,25.0,42882.0,473.0,32,sudeste,casado(a),médio,3,pix,2
VERA M.,feminino,w9t9ods7an6t0qaqf3rqk4efpwlex1,4386895672,30.0,43223.0,,18,centro-oeste,solteiro(a),fundamental,3,boleto,6
JULIA M.,feminino,gws0lhmmfa9ori6qac0caa3dir37dn,6292346739,,50029.0,560.2,23,nordeste,casado(a),fundamental,1,cartão de débito,17
ANTONIA R.,feminino,cpjtad94jtkfqunewahrwnw9sxwe58,,25.0,30449.0,551.8,18,nordeste,solteiro(a),fundamental,0,cartão de débito,10
