nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso,cliente
EDUARDO P.,masculino,8fp3s2zorimkujb4jpret5il1n6pvh,4122561870,41.0,44249.0,704.3,54,sul,casado(a),fundamental,1,cartão de débito,10,1
ANDRE Q.,masculino,mi68to15lu2n9kqp43bs2t0vhzbmnb,7832436260,27.0,60347.0,457.1,54,sul,divorciado(a),graduado,0,pix,7,0
LUIZ N.,feminino,l6vwiw41hw0ls9ak48xq9srw549wot,0553116603,40.0,75920.0,552.1,59,sudeste,casado(a),graduado,1,cartão de crédito,0,1
RODRIGO M.,masculino,ppu4aots050ewqz3c38zq115799h0e,,29.0,68066.0,285.5,21,norte,viúvo(a),fundamental,2,cartão de débito,0,0
GERALDO V.,masculino,6htluh9948mgicubd4j9ebqpn54gpp,1603912313,30.0,76392.0,,20,sudeste,casado(a),médio,3,boleto,6,0
VITOR V.,masculino,dkpmq9a1lt9ra4banq0fo38szm84pi,8232136233,30.0,51458.0,373.0,74,nordeste,casado(a),graduado,0,boleto,5,0
GUSTAVO W.,masculino,893q9fsge3xeia3spre8ie2wc0lka7,2267564550,35.0,56667.0,354.7,63,nordeste,solteiro(a),fundamental,1,pix,13,1
CLAUDIA D.,masculino,6uzzmjuvxeb26aosjoja9uqj0klmen,4773828448,32.0,98166.0,474.6,30,sudeste,separado(a),outros,4,pix,0,0
RAIMUNDO G.,masculino,7fi6vou4982pzam2q0o6kjzdmd901k,5946314682,39.0,63542.0,615.8,61,sudeste,separado(a),médio,1,cartão de crédito,4,0
RENATA P.,feminino,b4xdjfo1hkhzgd217i3x4ox67pbbna,,49.0,94387.0,503.9,84,sudeste,separado(a),graduado,1,transferência,0,1
GERALDO J.,masculino,dhejka9rpo1rc576cixvj9sjqtm8uc,,50.0,61575.0,674.0,21,sudeste,divorciado(a),graduado,0,cartão de débito,1,0
DANIEL N.,feminino,20p6pforx9hzlpkck18wfkeesl8etl,7791929006,,49069.0,508.2,18,sudeste,separado(a),médio,0,pix,9,0
EDSON E.,masculino,5z1s0gjivqwm7l25q4b8246xnx3f7x,3612611547,,53792.0,467.8,22,centro-oeste,solteiro(a),médio,2,pix,15,0
TAIS X.,feminino,dgsfjl31ieedz5wlr44x3m3mh7umj0,1964303910,35.0,42685.0,359.9,29,sudeste,solteiro(a),graduado,1,cartão de crédito,4,0
JOAO T.,masculino,1nfckvgqiovak75gnditovrvgc191c,,36.0,60024.0,437.2,43,sudeste,separado(a),outros,0,boleto,0,0
LUIZ R.,masculino,uvo0wsb4gqqt73rnldhf31tu0fkbjj,5185858011,30.0,68416.0,477.5,22,sul,separado(a),fundamental,0,cartão de débito,0,0
RAIMUNDO S.,masculino,pfx4v0gxf29f77bc8kt4wbau8s1xvo,,36.0,59146.0,715.9,35,sul,casado(a),,2,cartão de crédito,10,0
FABIO N.,masculino,mrwagif0er2g0w9q2ncho1q9lox95i,1978557011,33.0,56450.0,661.4,25,sudeste,solteiro(a),graduado,2,pix,3,1
ANDRE O.,masculino,mfolcqbn337q15cfvja82xe4egoqmb,,33.0,93902.0,,17,nordeste,casado(a),médio,0,cartão de crédito,8,0
ANTONIO Z.,masculino,bupmgnv6rergksqtlvmkc9ktc31dkb,9167080082,46.0,79856.0,777.5,22,centro-oeste,separado(a),fundamental,1,cartão de crédito,4,1
RAFAEL D.,masculino,wmhd5f057bpftv37ruf63a42m5bu1t,6129354546,33.0,62466.0,638.9,28,sul,viúvo(a),fundamental,2,cartão de crédito,8,1
MARCIA V.,feminino,7mn6on7nux3zgddiq157hhgegfv43r,7832885937,31.0,47871.0,387.3,46,centro-oeste,casado(a),médio,3,pix,0,0
FERNANDO Z.,masculino,rdibskc119f447un51qnt5l8kqr2ip,,44.0,72243.0,432.9,74,sudeste,solteiro(a),médio,0,cartão de débito,0,0
SEBASTIAO G.,masculino,6b45u3ehcb0vvbqi4h4t0wofpc4hr4,,50.0,71150.0,796.8,31,sudeste,casado(a),outros,2,cartão de débito,0,0
JOSEFA E.,feminino,8bkoq79l1zvrs6i77e4n83qz5s4bd6,,27.0,63315.0,347.7,21,sudeste,separado(a),outros,1,cartão de débito,0,0
BRUNA P.,feminino,wgni67t72hj6mn0l19c3ei3vdbthj7,7936207060,24.0,61631.0,603.9,45,norte,solteiro(a),,1,cartão de crédito,0,1
FERNANDO H.,masculino,cpuuzxdncjkd28j0zrhp1t5if4ompd,,58.0,63055.0,633.8,21,norte,casado(a),médio,0,cartão de crédito,3,0
CAMILA R.,feminino,2340ao0zhsnjqdmjvnnubwwwu6qibf,,37.0,96734.0,342.7,42,sudeste,separado(a),médio,0,cartão de crédito,12,0
AMANDA M.,feminino,6kthz8o1z25fe86mt9jqcralt5x0oa,,37.0,31253.0,712.5,15,sudeste,solteiro(a),outros,3,boleto,5,0
FRANCISCO G.,masculino,f7a93fvchrmudrwncvgxpvjin63z5p,9158450390,47.0,66858.0,637.0,28,nordeste,divorciado(a),médio,2,cartão de crédito,0,0
TIAGO W.,masculino,otu2shm0ni6gfdh4ufsnob0ram0fxq,6061178495,,79279.0,,81,sudeste,solteiro(a),médio,1,cartão de crédito,0,0
ALINE R.,feminino,baa8cqbrfmbvco07rj2o9obmekphwn,6699691398,24.0,71513.0,333.5,48,sudeste,casado(a),fundamental,0,pix,3,1
VANESSA U.,feminino,dnzxewq6cj701ul2kk612e6pcsqg1t,9276205435,45.0,27953.0,420.3,23,nordeste,divorciado(a),fundamental,2,pix,10,1
DANIEL Z.,feminino,05dx3f4vdwd9icu38ldgp69o2dxbp7,9624968632,37.0,56084.0,555.3,67,nordeste,casado(a),outros,0,pix,17,0
GABRIELA N.,feminino,7b8k3uaihe98dnqi9ptrckt4hr8r1z,,44.0,54976.0,709.7,32,nordeste,casado(a),fundamental,2,cartão de débito,1,1
ANA Z.,feminino,09h8rzla93sep1kh1gdoccsnpux9rd,2750090820,38.0,63779.0,548.1,69,sul,casado(a),,0,cartão de débito,0,0
AMANDA N.,feminino,ur1l6xm0u7ab2whl05l2wq2ulzjqbk,0418378404,34.0,54635.0,412.0,21,nordeste,separado(a),outros,1,transferência,3,0
RAFAEL J.,masculino,dtm7ww3zm0mqctzj0h7a6zlodcb2nq,9002588946,42.0,83596.0,555.4,22,nordeste,solteiro(a),,1,boleto,5,0
JOSE N.,masculino,3u77tgvkdahv04w40xtfv0v3nja0q8,1544613742,37.0,68822.0,654.3,30,centro-oeste,viúvo(a),fundamental,1,pix,4,1
